Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
10/30/2015,1982,1998
12/03/2019,4734,2014
04/22/2016,2702,2734
04/21/2017,4484,3734
09/13/2019,5414,2902
12/17/2013,2188,2276
01/09/2013,1300,1394
05/16/2017,2782,1962
08/18/2013,2074,2528
11/05/2015,2964,2890
10/30/2018,4374,2656
12/15/2012,410,516
05/30/2014,4864,4874
03/10/2014,2156,2134
02/27/2014,2554,2888
06/09/2016,4170,3770
04/01/2017,1244,1230
02/22/2017,2468,1884
03/18/2015,4054,1692
04/25/2014,3012,3376
07/17/2016,2024,2050
08/08/2020,1266,1052
03/17/2013,1100,1490
07/21/2016,4862,4240
03/12/2018,5010,3492
10/12/2019,1818,1332
06/08/2018,3494,2118
09/26/2019,5272,2988
11/29/2019,2412,1302
05/15/2014,5286,5314
02/20/2013,2150,2284
11/21/2020,1271,1260
11/06/2016,1488,1530
12/20/2020,614,566
12/07/2018,3056,1804
07/19/2014,2122,2118
11/23/2018,662,536
12/26/2016,364,402
03/25/2019,3686,2228
08/14/2015,2074,2050
09/21/2017,3986,2754
06/13/2016,3834,3288
12/22/2012,460,526
05/23/2020,1594,1501
06/21/2019,5828,3468
09/12/2018,4786,2926
04/01/2018,616,628
06/07/2020,1167,1020
05/30/2016,2862,3068
08/31/2014,1738,1902
01/12/2017,1996,1680
03/11/2019,3378,2156
06/14/2019,6172,3650
04/11/2013,2430,2568
12/27/2016,1216,994
04/11/2015,1114,1414
03/21/2017,2508,1818
02/04/2019,330,190
06/20/2017,4438,3432
08/15/2013,3290,3378
07/31/2018,6200,4054
07/16/2015,4524,4324
01/27/2020,4210,2116
03/15/2018,4140,2860
08/09/2015,3500,2390
01/08/2017,268,268
05/10/2013,4560,5172
11/08/2013,2542,2722
05/01/2016,2330,2646
12/21/2020,272,145
03/26/2017,430,502
04/01/2020,1898,1654
07/05/2017,5274,3776
04/11/2014,3360,3510
08/30/2016,4750,4034
01/09/2016,886,1034
10/21/2014,3266,2662
02/19/2015,1710,2732
05/10/2016,5536,5562
07/13/2013,2576,2820
04/05/2018,2688,1822
04/09/2017,1552,1758
06/10/2018,1502,1544
04/25/2015,1480,1752
07/24/2017,5796,4018
09/13/2015,1358,1296
09/30/2020,1477,1053
11/17/2019,782,638
08/04/2017,4452,3018
12/14/2016,2312,1698
08/27/2014,5090,5002
03/08/2018,2068,1406
05/11/2020,981,842
09/03/2013,2912,2950
05/22/2019,7344,4288
02/02/2013,976,1290
03/17/2019,2396,2072
09/11/2016,1750,1624
07/31/2016,2022,2188
04/15/2015,3578,3816
01/27/2013,570,716
12/22/2013,384,416
12/08/2019,1208,1090
12/04/2013,1958,2198
04/24/2015,2236,2316
11/12/2017,556,602
01/06/2014,2298,2310
11/16/2017,3172,1936
03/28/2018,3986,2664
05/24/2015,1654,1898
05/11/2019,3002,2808
06/08/2015,4560,4390
03/08/2013,2660,2818
09/25/2015,2740,2628
03/31/2018,2084,1916
09/07/2016,3580,3018
09/01/2020,1847,1237
08/09/2014,2280,2578
11/08/2016,4308,3586
03/31/2014,3448,3424
05/16/2020,493,479
02/20/2019,2542,1600
11/29/2012,1780,1908
05/30/2018,6106,4048
04/05/2016,3614,3474
09/02/2014,3378,3608
06/30/2018,1932,1530
10/27/2020,1205,840
08/06/2014,4822,4734
10/30/2013,2908,3000
07/26/2015,1364,1540
06/29/2019,3496,2870
11/24/2013,994,1288
07/06/2016,5020,4612
09/29/2014,2948,3122
05/27/2013,768,770
04/29/2015,3456,3418
08/20/2019,7384,4038
08/05/2013,4256,4368
09/08/2016,4020,3400
01/14/2013,1870,1868
02/10/2016,2504,2486
08/21/2017,4490,3046
02/25/2017,1008,954
03/11/2014,3314,3518
08/30/2014,806,912
11/06/2018,4382,2696
02/13/2014,2356,2422
03/08/2017,2466,1910
02/05/2017,266,318
12/23/2016,604,506
07/12/2015,1882,2192
01/21/2014,2656,2704
12/24/2014,766,860
08/10/2016,4860,4160
03/06/2014,1760,1842
03/19/2015,2120,3300
03/23/2015,1778,2280
12/09/2015,2270,2170
08/11/2017,4798,3286
08/07/2017,5334,3562
08/16/2018,5116,3174
04/20/2018,4020,2608
04/23/2014,2734,2930
03/16/2020,2324,1546
06/26/2018,5828,3714
10/31/2012,1654,1766
03/13/2013,1918,1870
11/10/2014,3562,2946
12/09/2019,5438,2596
04/20/2020,2986,2486
07/08/2017,2628,2616
04/24/2020,2604,2130
09/09/2017,1666,1536
02/07/2019,1424,906
11/15/2020,692,684
07/08/2019,5932,3496
03/01/2013,1842,1848
01/03/2020,3248,1728
09/03/2017,1862,1896
02/11/2016,2344,2162
10/07/2018,842,884
05/17/2019,5322,3884
10/03/2015,1656,1822
09/18/2017,3714,2308
08/04/2016,4774,4272
03/19/2019,6106,3794
06/01/2014,2326,2876
08/07/2015,4200,4000
10/22/2013,3440,2884
07/19/2018,5760,3758
12/31/2013,1418,1420
11/11/2016,2838,2178
10/10/2020,788,696
09/28/2017,5648,4178
04/26/2016,4250,3986
06/05/2014,4706,4644
09/14/2014,2078,2284
05/14/2015,3756,3866
10/02/2018,4774,2904
07/24/2013,4726,4662
09/14/2020,360,204
11/15/2012,2432,2608
08/10/2020,1387,1058
03/26/2014,2358,2334
04/20/2019,2186,1886
02/03/2016,2362,2212
03/29/2013,3052,3362
12/01/2019,1010,1020
07/21/2019,3200,2866
04/16/2018,2620,1648
04/15/2019,4624,2900
12/10/2020,745,530
05/04/2014,578,662
03/19/2017,1768,2006
06/28/2019,6088,3506
05/21/2014,5126,5332
10/07/2017,1268,1234
06/28/2014,1714,1846
01/28/2018,658,698
08/10/2013,1824,1970
01/16/2016,568,580
09/20/2014,2142,2308
05/02/2018,6350,4314
03/01/2020,1432,1188
04/17/2016,2060,2386
11/07/2019,5774,2806
04/21/2014,3322,3480
12/29/2013,592,776
11/07/2018,4382,2694
05/23/2019,7504,4862
08/17/2014,2306,2586
05/18/2015,4870,4820
09/11/2013,4322,4500
03/04/2013,2654,2928
08/17/2020,1467,992
12/09/2016,710,422
06/26/2015,3880,3858
06/26/2020,1739,1294
06/10/2019,7318,4120
03/23/2018,2208,1248
12/17/2017,446,492
12/31/2012,880,1092
02/02/2018,2512,1744
10/04/2019,4794,2578
08/07/2020,1768,1191
07/10/2016,2082,2376
04/07/2019,1288,1124
06/13/2020,830,693
09/28/2013,408,546
06/18/2014,4540,4760
09/20/2020,1552,1262
05/15/2019,5528,3112
11/14/2019,4982,2392
11/09/2014,616,888
09/06/2020,1639,1382
03/02/2014,374,488
10/18/2012,2948,2898
05/28/2016,1208,1162
02/04/2013,2228,2348
01/15/2016,1942,1882
06/15/2018,5262,3494
03/24/2016,2658,2680
12/19/2014,1834,1906
01/20/2013,668,934
04/06/2016,4240,4200
08/08/2015,1976,2052
06/04/2016,2556,2722
03/08/2020,1402,1186
12/26/2012,830,860
04/14/2016,3238,3244
10/04/2017,5082,3396
10/05/2014,1900,2424
06/10/2016,3456,3100
01/31/2014,1974,2096
11/06/2019,5908,2926
03/06/2016,596,768
01/10/2018,2884,2016
08/31/2019,2732,2238
11/10/2016,3828,3132
02/25/2018,692,704
03/19/2016,1358,1630
01/27/2016,2406,2294
10/25/2018,3144,1922
01/18/2017,1566,1246
03/17/2017,2032,1568
07/13/2014,2068,2528
12/14/2019,806,646
04/03/2014,2594,2652
02/22/2018,1298,746
06/08/2020,1246,953
05/24/2013,3282,3464
09/02/2019,2982,2722
02/11/2018,1100,1076
06/01/2015,2948,3030
09/20/2017,3912,2750
03/03/2017,1822,1304
09/01/2014,2200,2512
06/21/2013,2964,3056
02/24/2015,2746,3386
10/15/2017,1754,1768
08/10/2015,4014,3782
10/19/2013,1020,1248
05/28/2013,3230,3488
05/15/2015,4476,5630
08/24/2015,4186,3958
03/31/2015,2918,1126
12/20/2013,740,738
07/12/2013,3716,3676
07/07/2013,2362,2828
05/06/2020,802,652
06/17/2014,4064,4150
11/16/2016,3350,2510
01/11/2017,2070,1676
09/05/2017,4244,2856
12/28/2014,584,704
03/31/2019,2460,2268
03/01/2018,3378,2242
10/14/2015,3676,3536
05/19/2015,4888,4856
04/28/2015,2680,2810
05/15/2020,1704,1507
10/29/2012,2142,2292
06/19/2015,3468,3366
03/05/2017,712,638
07/22/2017,2370,2306
07/30/2016,2144,2118
01/27/2017,2702,2064
01/10/2013,1750,1870
03/22/2013,1868,1856
09/08/2013,2086,2576
10/16/2012,2954,3118
03/11/2018,2344,2398
04/08/2017,990,960
12/04/2018,3608,2178
12/19/2012,1048,992
12/31/2018,1168,950
10/29/2017,1224,1212
05/23/2013,2946,3100
12/24/2020,569,513
12/12/2018,3194,2014
11/22/2016,2404,1868
10/17/2014,1946,2472
10/07/2013,2974,2906
11/20/2014,3034,2416
05/10/2018,4476,3070
12/18/2018,2530,1402
01/26/2019,1528,1532
02/07/2015,580,678
12/16/2015,2456,2416
06/19/2019,6686,4058
03/26/2019,4604,2880
02/24/2016,3074,2890
12/08/2017,2560,1600
09/12/2013,3950,4140
10/21/2017,452,452
10/08/2018,3222,2052
05/09/2018,5770,3896
07/25/2016,4684,4066
04/28/2017,3722,2908
05/04/2019,2816,2528
11/04/2014,2730,2850
04/26/2020,3162,3170
07/21/2013,2264,2586
12/08/2014,2780,1998
07/16/2018,6074,3654
10/23/2014,2378,2384
04/25/2016,2840,3018
08/20/2014,4256,4122
03/21/2019,5070,2888
11/14/2018,3422,2054
11/30/2012,1608,1572
03/15/2015,214,264
01/03/2014,1896,2158
05/31/2013,4238,4592
06/12/2019,7576,4476
09/19/2019,6518,3422
10/05/2013,1884,2422
12/29/2020,594,448
03/13/2015,2260,3678
06/27/2015,2094,2326
03/05/2019,3738,2370
09/19/2018,5066,3188
04/23/2020,1244,1048
04/03/2015,2560,2662
07/25/2017,5980,4208
02/19/2014,2150,2184
09/01/2019,2684,2224
07/26/2016,5010,4478
09/14/2017,5340,3562
12/02/2018,730,680
12/13/2012,1932,2094
09/29/2017,3460,2480
02/05/2018,3424,2110
01/05/2019,986,964
01/12/2018,2614,1666
03/14/2014,2174,2258
10/06/2016,3672,2888
02/16/2018,2268,1452
11/30/2018,3298,1924
06/01/2020,1483,1186
04/09/2016,2154,2540
09/24/2017,1982,1954
11/15/2018,4064,2406
06/03/2013,4212,4372
08/16/2019,6108,3332
02/06/2018,3470,2190
08/26/2020,1736,1282
01/17/2013,1788,1766
12/03/2017,784,810
08/05/2015,4274,3942
06/17/2020,1885,1441
01/04/2014,1030,1314
07/28/2019,3252,2980
08/03/2013,2038,2476
01/24/2020,3432,1672
11/29/2013,962,1046
08/02/2019,5880,3424
09/15/2017,4792,3440
08/03/2020,1686,1118
10/01/2017,1370,1386
09/24/2018,5448,3508
03/12/2019,2760,1658
04/22/2020,646,426
07/14/2014,4390,4432
03/05/2020,3412,1856
05/27/2014,4940,5124
12/09/2014,1838,2400
12/25/2015,228,300
12/23/2014,1340,1460
01/30/2014,2250,2208
03/16/2019,2060,1620
09/02/2018,2188,2088
08/16/2015,2240,2426
11/23/2014,724,850
02/04/2016,2398,2244
07/03/2017,3544,2656
01/18/2014,982,1288
04/28/2018,690,576
10/09/2013,3496,3678
11/26/2020,374,302
08/25/2017,4948,3196
06/30/2013,2516,2976
10/14/2019,5984,3384
03/21/2018,3982,2578
10/17/2017,3284,2208
08/12/2018,2204,2036
09/14/2019,2430,1898
06/26/2013,2948,2860
12/27/2012,1150,1146
08/19/2017,2296,2044
10/30/2014,2332,2452
05/09/2017,5636,4506
12/05/2012,2240,2360
04/27/2014,1452,1352
04/03/2020,1124,864
06/12/2016,2192,2156
01/08/2014,1900,1996
02/06/2020,2846,1396
12/05/2018,3392,2042
08/13/2013,4480,4458
08/07/2013,4532,4580
12/07/2013,540,642
07/28/2014,4730,4862
03/09/2014,988,1296
05/09/2019,6632,4270
08/16/2016,5016,4324
07/11/2013,4070,4130
03/06/2018,4050,2682
09/15/2013,926,1122
01/22/2015,1630,2736
10/09/2012,3484,3518
01/01/2016,492,632
06/01/2017,4410,3282
09/04/2017,2064,2178
02/21/2017,2240,1634
12/27/2019,1480,796
11/07/2013,1712,1706
09/30/2018,1398,1240
08/22/2014,3924,3746
01/06/2018,632,626
10/17/2016,3116,2480
09/08/2014,3316,4302
04/04/2013,1982,2032
03/14/2018,3692,2392
10/05/2017,4994,3352
03/28/2020,748,710
12/15/2015,2478,2382
07/21/2017,4716,3310
02/28/2017,2226,1690
11/27/2014,410,590
01/05/2020,634,504
10/20/2013,1072,1152
02/24/2018,700,672
05/25/2019,1088,984
06/06/2016,5002,4526
10/25/2017,4168,2696
10/09/2017,4782,3132
09/07/2018,4744,3080
10/05/2020,1411,994
07/31/2014,4860,4810
11/28/2016,3118,2444
09/08/2015,3864,3466
07/27/2015,4298,3906
04/17/2018,4094,2580
04/15/2013,2508,2866
07/03/2016,1914,1648
04/07/2014,4222,4416
02/27/2016,1174,1340
08/07/2014,4584,4522
05/07/2017,1912,2284
08/24/2016,5124,4122
04/16/2017,1588,1536
03/16/2015,3912,1336
09/27/2019,4428,2398
07/27/2014,2416,2838
10/20/2018,1644,1512
09/06/2017,4402,2926
07/24/2020,1551,1107
02/14/2015,1342,1588
07/26/2017,6020,4154
07/06/2020,1647,1096
06/08/2019,3204,2742
08/02/2014,1948,2272
06/11/2019,8100,4756
01/06/2015,1988,3462
05/31/2017,5126,3860
04/02/2013,3204,3370
03/09/2013,2116,2744
07/15/2013,4422,4414
12/06/2016,2248,1696
11/27/2015,842,922
10/13/2013,1392,1638
12/03/2016,788,906
11/04/2015,3436,3428
04/06/2013,720,858
10/07/2014,3306,4422
04/18/2013,1906,2038
09/19/2017,3126,2034
11/08/2012,2672,2710
11/25/2018,936,926
08/22/2015,1948,2232
07/26/2020,1696,1444
06/14/2015,2252,2860
04/01/2015,3394,1460
04/01/2013,3188,3308
08/30/2019,5414,2846
06/11/2017,2142,2092
10/27/2012,484,578
08/11/2015,4638,4422
11/15/2013,2068,2058
01/09/2014,2186,2054
08/09/2020,1875,1615
01/17/2016,432,372
03/04/2014,1996,2110
10/10/2018,4884,3192
01/16/2013,1960,1940
11/12/2014,2968,2516
01/11/2020,700,548
07/07/2015,4642,4628
07/23/2016,2080,2134
11/06/2015,2572,2426
01/13/2014,2502,2558
03/25/2015,1630,2450
03/07/2018,3574,2372
05/10/2017,5712,4286
01/26/2015,2242,4076
09/01/2017,4416,3156
11/03/2016,4130,3140
08/11/2018,4228,1932
12/21/2014,780,908
02/26/2019,3488,2118
08/01/2019,7696,4406
08/16/2020,1356,1019
01/29/2020,3788,1876
05/31/2014,2556,3218
09/25/2019,6998,3860
07/23/2014,1992,1986
06/07/2015,2300,2674
01/09/2019,2920,1830
01/03/2019,2188,1298
07/20/2020,1750,1135
11/15/2016,2782,2168
09/16/2019,6280,3444
10/14/2012,542,854
07/30/2014,5148,4970
12/26/2014,1028,970
05/10/2015,1752,2164
12/12/2015,444,450
04/21/2018,1558,1602
09/14/2016,4944,4048
09/23/2013,2180,2334
07/17/2015,3872,3754
07/11/2014,3964,4372
11/17/2014,2348,3048
02/10/2015,2680,2352
11/22/2012,458,650
12/16/2014,2008,2840
06/15/2014,1094,1440
03/28/2017,2708,1950
01/22/2018,3456,2166
05/23/2018,6736,4528
04/30/2013,3290,3514
10/04/2014,1760,2120
01/20/2020,2350,1180
11/08/2018,4128,2526
05/07/2018,5906,3726
10/20/2019,682,578
12/12/2016,2304,1712
04/19/2018,4838,3428
03/16/2016,3196,3032
03/24/2014,3586,3686
11/29/2018,4002,2470
03/10/2013,904,1188
07/22/2019,7370,4088
04/07/2015,2496,3600
03/25/2013,3120,3198
07/01/2013,4082,4332
07/25/2015,1306,1462
10/03/2019,5526,2990
06/17/2015,4832,4590
09/04/2020,1606,1165
07/13/2020,1810,1368
09/23/2014,3030,3802
08/05/2019,7416,4198
12/28/2018,982,662
09/15/2018,1384,1272
11/05/2014,3106,2438
10/23/2020,576,396
12/16/2016,1756,1260
04/13/2014,2322,2972
11/18/2018,1398,1404
10/02/2017,4762,3102
10/01/2013,2634,2826
07/05/2014,1944,2008
09/27/2016,4590,3774
03/24/2015,1746,2754
06/14/2016,3406,3022
02/24/2014,1506,1608
12/26/2017,660,448
11/02/2012,2266,2690
02/12/2019,158,88
01/30/2017,3034,2256
12/25/2014,396,506
08/12/2015,4520,4286
07/13/2019,3366,2806
04/24/2014,2482,2540
11/29/2017,3706,2532
02/08/2019,922,484
04/16/2020,2916,2870
08/13/2020,1799,1280
01/12/2015,1944,3396
09/12/2014,3834,3972
05/14/2019,4142,2474
05/18/2020,1307,1123
01/29/2014,1802,1996
11/28/2012,2024,2044
02/03/2020,4532,2242
10/15/2012,2146,2400
04/05/2015,1590,1868
03/18/2019,5396,3236
02/29/2020,1410,886
02/18/2016,2432,2234
11/20/2013,2778,2890
07/20/2014,1452,1618
07/24/2015,3928,3328
07/02/2017,2216,2294
09/25/2020,641,454
12/24/2013,958,1206
04/23/2017,678,640
04/26/2019,4748,2930
09/08/2018,1902,1598
03/26/2015,2874,4118
11/09/2015,2416,2182
05/29/2016,944,854
05/16/2015,1534,1776
03/23/2013,1562,1942
08/26/2017,2378,2104
12/02/2013,2168,2398
06/28/2016,5096,4394
03/15/2020,1376,1150
01/09/2015,2328,2652
03/15/2014,1086,1268
03/29/2016,4004,3848
02/11/2017,1042,1004
11/04/2012,926,1096
03/04/2015,2796,2862
09/10/2017,2194,2038
12/10/2016,428,414
07/23/2019,7300,4178
12/28/2016,1656,1288
04/19/2020,3552,3702
06/17/2018,2860,2486
06/28/2020,1575,1260
12/30/2020,309,231
10/06/2015,3966,3804
10/01/2015,4158,4044
08/03/2014,2374,2660
12/21/2013,420,620
05/24/2016,4826,4476
05/24/2020,1891,1624
05/01/2020,1687,1465
03/20/2014,2508,2874
12/14/2018,2768,1740
08/06/2017,2278,2066
10/12/2018,4460,2646
09/15/2016,4708,3726
01/30/2015,2498,2726
04/24/2019,5380,3482
02/02/2019,1566,1240
06/14/2017,5114,3684
10/24/2019,6112,3222
02/07/2016,972,1048
09/17/2014,3728,3722
12/01/2012,592,676
10/23/2016,1128,1090
11/18/2014,2858,2808
09/25/2017,4104,2758
02/09/2014,232,210
06/09/2014,4176,4080
04/23/2015,2422,2494
01/22/2013,1962,1968
06/05/2019,6796,3958
09/28/2018,4966,3264
08/11/2019,2528,2294
04/22/2015,3254,3448
07/24/2019,7418,4296
09/08/2019,1298,1214
05/28/2015,5120,5164
09/30/2016,4040,3450
06/19/2014,4328,4496
09/04/2018,5692,2952
12/27/2013,1020,1112
04/15/2014,3098,3314
09/05/2019,7324,4112
06/07/2018,5728,3702
05/02/2017,4144,3248
07/14/2018,2696,2566
05/26/2014,2058,2520
05/19/2018,2476,2422
01/18/2020,656,628
09/21/2014,2104,2330
05/03/2016,5428,5198
04/22/2019,3740,2210
06/24/2014,4272,4412
02/15/2020,770,624
01/10/2015,764,778
11/27/2019,3372,1780
11/21/2014,1718,1798
02/28/2016,554,774
01/24/2014,2376,2666
09/26/2020,1146,987
06/29/2014,2100,2524
12/05/2013,1900,1976
06/26/2016,2514,2486
01/25/2016,2914,3022
10/19/2017,2606,1728
05/12/2017,3600,2500
10/22/2019,4958,2488
09/02/2016,2342,1898
01/08/2016,2378,2390
11/24/2014,2102,2734
02/17/2013,796,942
04/09/2015,3594,3746
01/21/2018,398,406
10/14/2018,1878,1680
08/21/2013,4446,4338
11/22/2015,866,1050
10/13/2014,2776,3934
08/24/2019,2748,2260
01/07/2015,2016,3634
02/16/2016,2578,2360
12/15/2019,716,638
07/27/2018,5510,3508
01/12/2016,2034,1922
11/25/2016,1032,902
08/08/2014,4110,3802
02/07/2017,1612,1194
12/08/2016,1770,1438
04/10/2015,3188,1250
10/10/2015,476,602
01/14/2016,2614,2632
06/03/2015,3662,3654
02/06/2015,1314,1908
09/27/2015,1352,1790
01/15/2017,774,852
01/19/2015,1866,2098
07/12/2020,1259,993
11/23/2017,404,336
03/25/2017,1658,1528
06/03/2014,4598,4742
12/26/2015,476,500
09/17/2013,3250,3318
07/15/2019,6050,3470
01/01/2013,668,688
11/12/2013,2376,2456
01/15/2019,4210,2556
07/22/2014,4724,4832
12/22/2018,608,574
11/07/2014,3652,2504
01/18/2018,2754,1784
10/31/2015,468,520
03/26/2018,2838,1826
05/22/2015,3666,3670
05/30/2013,3882,4044
06/30/2015,4712,4598
05/14/2017,956,1076
12/30/2016,1190,992
07/30/2013,4628,4452
12/20/2016,2094,1566
04/25/2018,5950,4170
08/31/2018,4114,2388
01/06/2016,2688,2680
04/28/2013,1052,1328
01/13/2013,448,670
06/25/2016,2106,2340
01/14/2015,2012,3234
04/17/2017,3066,2240
02/16/2015,2062,2360
05/25/2017,5612,4272
08/25/2016,4742,4022
02/04/2015,1654,2848
09/11/2020,539,358
11/29/2016,3340,2712
05/26/2015,4328,4180
10/12/2017,3288,2136
12/25/2018,282,314
09/24/2016,1590,1830
01/17/2017,1982,1508
10/11/2015,1326,1570
01/28/2020,3642,1816
06/09/2013,1796,2366
06/23/2018,2442,2180
04/08/2020,2334,2152
02/02/2017,2596,2112
03/09/2020,2998,1960
11/22/2014,1008,1100
04/06/2017,2610,2118
06/12/2015,3696,3842
01/19/2014,756,888
06/23/2020,1797,1291
11/05/2019,6050,3058
04/02/2015,2146,3510
02/17/2017,2884,2354
02/16/2019,460,380
01/04/2013,1752,1672
11/21/2017,2132,1282
09/23/2020,538,346
06/10/2020,1827,1489
01/31/2016,768,862
09/22/2013,762,830
05/13/2014,6016,6160
07/19/2016,4630,4326
07/16/2019,7172,4302
11/24/2012,794,896
01/05/2015,1356,2290
05/09/2014,2960,3112
03/28/2013,2644,2768
02/19/2020,4726,2220
04/06/2020,2400,2004
01/12/2013,672,682
03/29/2015,1132,1684
01/09/2020,3684,1844
02/09/2020,1720,1474
01/18/2015,444,498
11/26/2015,546,518
02/08/2013,2084,2238
03/19/2020,2662,2032
04/21/2019,1724,1396
07/02/2013,4590,4802
01/29/2016,2008,1970
08/22/2013,4084,4256
09/29/2018,2060,1816
10/28/2017,1816,1812
09/25/2018,5722,3434
02/25/2019,3220,2066
08/12/2020,1652,1199
12/27/2015,204,200
10/16/2015,3418,3512
09/22/2015,4722,4380
05/09/2020,1714,1882
01/22/2014,2622,2762
02/01/2014,968,1300
06/26/2017,5046,3694
08/31/2015,3026,2620
07/16/2014,5054,4964
04/23/2013,3878,4006
08/16/2014,2332,2436
04/25/2017,3830,2882
11/20/2015,2606,2434
12/10/2014,1498,2416
03/20/2013,1480,1534
08/12/2016,4302,3444
05/01/2014,5748,6126
10/31/2020,1461,1229
08/29/2020,1542,1242
02/01/2013,2032,2184
05/29/2014,4574,4600
05/27/2017,2484,2326
01/23/2016,442,394
08/09/2018,5920,3780
07/31/2013,4064,4180
02/24/2020,5056,2402
12/07/2017,3214,2166
09/30/2013,2188,2330
01/14/2014,2778,2838
11/16/2019,1286,1134
07/14/2013,2352,2928
05/04/2017,3858,3094
10/13/2016,1604,1350
01/27/2018,616,514
02/06/2019,1002,602
03/06/2019,2836,1658
08/08/2013,4200,4350
03/14/2019,3788,2372
10/12/2020,1161,809
10/16/2016,468,510
01/13/2020,1564,770
03/12/2014,3506,3824
07/13/2015,4192,3946
02/17/2016,2458,2426
04/09/2014,3828,3828
02/27/2017,1204,890
01/20/2019,824,834
08/25/2020,1821,1276
04/14/2019,1020,950
09/23/2017,2250,2164
12/16/2019,4798,2300
07/09/2015,4516,4442
06/25/2013,2592,2706
12/13/2014,1124,1282
08/08/2017,5700,3940
06/22/2019,3062,2494
09/01/2013,2050,2526
02/07/2014,1500,1644
07/07/2019,2210,1918
11/19/2018,4220,2418
09/13/2018,4646,2926
01/31/2013,1894,1948
05/25/2014,1128,1340
08/06/2018,6248,3812
05/22/2016,1924,1992
11/14/2020,592,546
11/22/2013,2188,2472
11/20/2017,2436,1540
11/13/2018,4334,2580
04/07/2016,4596,4570
01/23/2017,2946,2324
10/29/2014,3810,2982
12/15/2020,484,325
10/04/2016,3180,2782
12/26/2020,379,401
11/28/2017,2920,1742
03/07/2015,2116,2446
10/21/2019,4124,2176
05/19/2017,5788,4996
08/06/2016,2054,1902
04/27/2017,3404,2518
12/10/2012,2184,2140
11/20/2019,5952,3102
03/04/2019,3630,2276
06/11/2018,6028,3600
03/10/2020,2738,1608
11/27/2017,3802,2394
03/16/2014,320,430
07/11/2016,4504,3786
01/24/2018,2470,1624
08/07/2019,7166,4102
12/13/2015,468,512
06/29/2020,1582,1167
04/12/2019,3496,2386
02/01/2017,2658,2154
02/14/2017,3282,2526
11/26/2016,452,404
11/29/2015,624,586
10/14/2017,1502,1230
11/25/2020,842,610
01/01/2017,328,324
08/27/2013,3858,3926
11/23/2013,1048,1372
03/15/2013,2366,2344
04/17/2015,3278,3630
12/18/2017,2200,1336
03/17/2020,2264,1620
01/21/2017,1512,1214
09/04/2019,7376,4184
01/08/2015,1918,3302
10/18/2020,462,358
08/23/2020,1763,1458
02/04/2020,3506,1736
06/22/2015,4444,4468
06/28/2013,4008,4190
01/13/2017,1904,1504
09/10/2014,4640,3390
10/26/2014,818,1014
07/19/2017,6054,4122
05/05/2019,2706,2424
07/05/2016,3394,3048
08/20/2017,1880,1796
10/21/2016,3032,2486
04/09/2019,4190,2504
09/13/2016,5062,4060
08/04/2018,2424,2370
10/03/2014,2982,4436
01/04/2019,2740,1618
10/26/2015,2424,2306
06/07/2014,2556,3058
04/30/2020,2136,1850
11/17/2020,571,364
09/28/2015,3910,3814
11/24/2019,1364,1156
07/05/2018,5334,3288
03/07/2013,2164,2136
10/22/2017,1234,1336
06/22/2014,2606,2822
04/15/2020,2404,1984
08/08/2016,3886,3140
01/30/2020,4026,2024
01/31/2015,1146,1326
07/15/2018,2212,2174
10/07/2020,1399,887
05/24/2014,2062,2248
03/01/2017,2662,2058
09/11/2015,3796,3726
10/17/2018,5252,3336
04/08/2019,3362,2036
06/27/2020,555,412
06/16/2020,1529,1187
08/27/2019,8006,4414
01/23/2020,3026,1492
05/17/2014,1850,2232
09/17/2016,924,918
08/10/2019,5116,1878
05/22/2013,2786,2934
06/04/2014,4800,4926
05/31/2016,4898,4900
04/16/2016,2128,2434
08/06/2019,7590,4100
09/29/2019,1636,1212
11/26/2018,2550,1348
11/30/2016,2630,2152
10/30/2017,4784,3104
01/11/2015,724,896
10/01/2018,3988,2450
07/16/2017,2176,2086
09/20/2015,1182,1424
02/26/2015,1708,2804
09/21/2018,4174,2636
02/23/2014,620,762
09/10/2018,4588,2792
08/15/2017,5718,4112
03/01/2016,1944,1774
10/28/2014,2236,2286
04/29/2019,5716,3316
04/08/2015,2548,4154
07/02/2015,3934,3940
02/28/2014,2722,2936
05/12/2013,1114,1412
08/24/2020,1551,1156
12/18/2016,450,462
02/10/2017,1942,1472
05/21/2020,613,443
03/24/2013,1238,1532
05/07/2013,4900,5306
06/15/2017,2562,1810
04/30/2019,6168,3688
03/21/2020,2716,2640
12/01/2013,596,766
02/12/2015,2036,3358
12/18/2020,479,316
05/27/2019,4054,3528
10/14/2014,3100,3294
04/08/2014,2730,2882
01/24/2013,1904,2006
07/10/2017,5604,4008
05/13/2013,3308,3426
11/01/2020,1234,1099
08/14/2019,7948,4398
10/18/2016,3206,2772
04/19/2019,2862,1580
04/14/2018,480,398
05/20/2015,4574,4586
10/08/2015,3638,3538
06/04/2020,1498,1173
12/27/2020,478,398
03/12/2017,652,820
02/23/2020,980,826
03/03/2014,1634,1806
03/18/2020,2656,2058
02/24/2017,2056,1664
09/07/2019,2298,2010
08/14/2013,4074,4268
03/09/2017,2084,1412
05/26/2018,2284,2072
02/04/2014,2098,2084
05/11/2013,2186,2776
02/15/2018,3144,2144
10/04/2013,3070,3358
06/01/2019,3284,2834
